round_node	node_ref_len	previous_ref_len	added_start_1based	added_end_1based	added_len	final_ref_start_1based	final_ref_end_1based	prefix_of_final_ref	extends_previous_ref	interval_valid	round_ref_fa	num_final_paths	final_paths	internal_path_ids	final_statuses	representative_final_path	representative_final_ref_fa	representative_final_bam	representative_final_bai
round_00	29652	0	1	29652	29652	1	29652	YES	YES	YES	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/round_00/final/ref.fa	36	path_001,path_002,path_003,path_004,path_005,path_006,path_007,path_008,path_009,path_010,path_011,path_012,path_013,path_014,path_015,path_016,path_017,path_018,path_019,path_020,path_021,path_022,path_023,path_024,path_025,path_026,path_027,path_028,path_029,path_030,path_031,path_032,path_033,path_034,path_035,path_036	path_000005,path_000007,path_000009,path_000011,path_000016,path_000017,path_000020,path_000021,path_000024,path_000026,path_000027,path_000029,path_000030,path_000031,path_000037,path_000039,path_000040,path_000043,path_000052,path_000054,path_000055,path_000056,path_000057,path_000058,path_000059,path_000060,path_000061,path_000062,path_000063,path_000064,path_000066,path_000068,path_000069,path_000071,path_000073,path_000074	STOP_LOW_NOCLIP_SUPPORT,STOP_NO_RESCUE_TIER_CANDIDATE,STOP_NO_STRICT_3PRIME,STOP_UNRESOLVED_CLIP	path_001	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000005.round_04.ref.fa	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000005.round_04.path_support_reads_vs_ref.bam	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000005.round_04.path_support_reads_vs_ref.bam.bai
round_01	39246	29652	29653	39246	9594	29653	39246	YES	YES	YES	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/round_01/final/ref.fa	36	path_001,path_002,path_003,path_004,path_005,path_006,path_007,path_008,path_009,path_010,path_011,path_012,path_013,path_014,path_015,path_016,path_017,path_018,path_019,path_020,path_021,path_022,path_023,path_024,path_025,path_026,path_027,path_028,path_029,path_030,path_031,path_032,path_033,path_034,path_035,path_036	path_000005,path_000007,path_000009,path_000011,path_000016,path_000017,path_000020,path_000021,path_000024,path_000026,path_000027,path_000029,path_000030,path_000031,path_000037,path_000039,path_000040,path_000043,path_000052,path_000054,path_000055,path_000056,path_000057,path_000058,path_000059,path_000060,path_000061,path_000062,path_000063,path_000064,path_000066,path_000068,path_000069,path_000071,path_000073,path_000074	STOP_LOW_NOCLIP_SUPPORT,STOP_NO_RESCUE_TIER_CANDIDATE,STOP_NO_STRICT_3PRIME,STOP_UNRESOLVED_CLIP	path_001	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000005.round_04.ref.fa	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000005.round_04.path_support_reads_vs_ref.bam	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000005.round_04.path_support_reads_vs_ref.bam.bai
round_02_1	52485	39246	39247	52485	13239	39247	52485	YES	YES	YES	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/round_02_1/final/ref.fa	17	path_003,path_005,path_006,path_007,path_009,path_012,path_013,path_016,path_019,path_020,path_021,path_025,path_026,path_027,path_032,path_034,path_036	path_000009,path_000016,path_000017,path_000020,path_000024,path_000029,path_000030,path_000039,path_000052,path_000054,path_000055,path_000059,path_000060,path_000061,path_000068,path_000071,path_000074	STOP_LOW_NOCLIP_SUPPORT,STOP_NO_RESCUE_TIER_CANDIDATE,STOP_NO_STRICT_3PRIME,STOP_UNRESOLVED_CLIP	path_003	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000009.round_05.ref.fa	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000009.round_05.path_support_reads_vs_ref.bam	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000009.round_05.path_support_reads_vs_ref.bam.bai
round_02_2	50901	39246	39247	50901	11655	39247	50901	YES	YES	YES	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/round_02_2/final/ref.fa	7	path_008,path_010,path_011,path_017,path_031,path_033,path_035	path_000021,path_000026,path_000027,path_000040,path_000066,path_000069,path_000073	STOP_LOW_NOCLIP_SUPPORT	path_008	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000021.round_14.ref.fa	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000021.round_14.path_support_reads_vs_ref.bam	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000021.round_14.path_support_reads_vs_ref.bam.bai
round_02_3	50198	39246	39247	50198	10952	39247	50198	YES	YES	YES	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/round_02_3/final/ref.fa	11	path_002,path_004,path_014,path_015,path_018,path_022,path_023,path_024,path_028,path_029,path_030	path_000007,path_000011,path_000031,path_000037,path_000043,path_000056,path_000057,path_000058,path_000062,path_000063,path_000064	STOP_LOW_NOCLIP_SUPPORT,STOP_NO_STRICT_3PRIME	path_002	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000007.round_07.ref.fa	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000007.round_07.path_support_reads_vs_ref.bam	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000007.round_07.path_support_reads_vs_ref.bam.bai
round_02_4	49135	39246	39247	49135	9889	39247	49135	YES	YES	YES	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/round_02_4/final/ref.fa	1	path_001	path_000005	STOP_LOW_NOCLIP_SUPPORT	path_001	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000005.round_04.ref.fa	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000005.round_04.path_support_reads_vs_ref.bam	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000005.round_04.path_support_reads_vs_ref.bam.bai
round_03_1	62796	52485	52486	62796	10311	52486	62796	YES	YES	YES	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/round_03_1/final/ref.fa	17	path_003,path_005,path_006,path_007,path_009,path_012,path_013,path_016,path_019,path_020,path_021,path_025,path_026,path_027,path_032,path_034,path_036	path_000009,path_000016,path_000017,path_000020,path_000024,path_000029,path_000030,path_000039,path_000052,path_000054,path_000055,path_000059,path_000060,path_000061,path_000068,path_000071,path_000074	STOP_LOW_NOCLIP_SUPPORT,STOP_NO_RESCUE_TIER_CANDIDATE,STOP_NO_STRICT_3PRIME,STOP_UNRESOLVED_CLIP	path_003	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000009.round_05.ref.fa	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000009.round_05.path_support_reads_vs_ref.bam	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000009.round_05.path_support_reads_vs_ref.bam.bai
round_03_2	61300	50901	50902	61300	10399	50902	61300	YES	YES	YES	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/round_03_2/final/ref.fa	7	path_008,path_010,path_011,path_017,path_031,path_033,path_035	path_000021,path_000026,path_000027,path_000040,path_000066,path_000069,path_000073	STOP_LOW_NOCLIP_SUPPORT	path_008	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000021.round_14.ref.fa	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000021.round_14.path_support_reads_vs_ref.bam	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000021.round_14.path_support_reads_vs_ref.bam.bai
round_03_3	61331	50198	50199	61331	11133	50199	61331	YES	YES	YES	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/round_03_3/final/ref.fa	11	path_002,path_004,path_014,path_015,path_018,path_022,path_023,path_024,path_028,path_029,path_030	path_000007,path_000011,path_000031,path_000037,path_000043,path_000056,path_000057,path_000058,path_000062,path_000063,path_000064	STOP_LOW_NOCLIP_SUPPORT,STOP_NO_STRICT_3PRIME	path_002	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000007.round_07.ref.fa	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000007.round_07.path_support_reads_vs_ref.bam	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000007.round_07.path_support_reads_vs_ref.bam.bai
round_03_4	58885	49135	49136	58885	9750	49136	58885	YES	YES	YES	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/round_03_4/final/ref.fa	1	path_001	path_000005	STOP_LOW_NOCLIP_SUPPORT	path_001	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000005.round_04.ref.fa	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000005.round_04.path_support_reads_vs_ref.bam	/share/home/yding25/mtDNA/MH63_auto/auto_multipath_roundtree_run/final_path/path_000005.round_04.path_support_reads_vs_ref.bam.bai
